S0101_C01_001E,S0101_C01_030E,S0101_C01_030M,S0101_C01_001M,NAME,state,county,tract
1580,187,121,373,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
2751,347,192,480,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
2974,233,54,692,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
3381,394,187,442,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
3367,185,67,401,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
2064,123,66,497,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
1766,22,20,313,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
3703,408,162,409,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
2973,511,253,499,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
3114,317,263,502,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
2547,212,137,338,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
2503,391,169,366,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
1759,162,87,378,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
2487,443,126,424,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
1693,261,107,353,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
2508,287,116,397,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
4034,956,176,411,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
1780,349,98,274,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
1936,219,103,285,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
2403,159,96,366,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
2978,364,136,561,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
2549,433,164,451,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
2150,337,79,514,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
3930,914,209,375,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
2271,121,38,383,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
2264,240,87,597,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
2143,180,84,59,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
2913,189,108,386,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
2462,426,132,448,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
3485,311,108,684,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
2850,9,15,295,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
5262,155,105,689,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
3305,222,103,400,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
4592,70,47,602,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
4383,743,199,711,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
1458,293,153,302,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
2779,90,66,728,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
4304,93,50,648,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
2803,22,31,610,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
3407,351,99,627,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
4124,322,140,1379,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
3387,493,194,722,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
4999,502,148,922,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
2440,209,107,655,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
2815,282,126,592,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
