B08201_001E,B08201_001M,B08201_002E,B08201_002M,NAME,state,county,tract
1479,265,546,137,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
1662,158,566,147,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
1909,271,571,145,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
2182,291,1069,254,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
1104,296,634,289,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
1117,129,679,123,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
2265,226,1388,247,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
2080,315,1129,288,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
2346,360,1561,337,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
1606,231,860,223,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
1985,309,1328,265,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
1271,235,706,203,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
1561,199,893,172,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
1190,238,672,214,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
1992,364,1283,305,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
1976,209,879,217,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
1104,245,640,178,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
1367,191,725,193,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
1483,264,866,221,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
1674,182,827,176,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
1365,344,356,118,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
1091,232,290,99,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
2087,250,377,176,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
1026,151,248,127,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
1045,211,87,51,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
36,28,19,30,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
1392,177,269,120,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
1057,195,234,110,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
1571,174,552,186,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
2116,167,822,197,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
3599,288,1366,306,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
1920,205,717,208,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
1333,238,10,17,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
2150,485,1197,505,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
773,199,500,203,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
970,177,416,210,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
1379,222,465,174,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
1268,204,547,205,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
1499,149,479,152,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
1422,329,743,160,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
1754,348,1042,345,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
1900,310,927,212,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
