B02001_001M,B02001_002M,B02001_001E,B02001_002E,NAME,state,county,tract
629,289,3400,1188,Census Tract 47.03; District of Columbia; District of Columbia,11,001,004703
373,75,1580,104,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
480,198,2751,1430,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
692,170,2974,1115,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
442,269,3381,1773,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
401,267,3367,1948,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
497,335,2064,1368,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
313,260,1766,1120,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
409,483,3703,1902,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
499,483,2973,2479,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
502,463,3114,1721,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
338,324,2547,1952,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
366,321,2503,1724,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
378,360,1759,1400,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
424,428,2487,1779,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
353,353,1693,1301,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
397,315,2508,1641,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
411,335,4034,2589,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
274,272,1780,1293,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
285,225,1936,1178,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
366,368,2403,1614,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
561,183,2978,621,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
451,412,2549,1854,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
514,523,2150,1713,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
375,346,3930,3323,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
383,219,2271,1266,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
597,167,2264,1340,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
59,115,2143,239,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
386,334,2913,2104,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
448,326,2462,1763,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
