S1601_C01_001M,S1601_C05_001M,S1601_C05_001E,S1601_C01_001E,NAME,state,county,tract
286,61,51,1361,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
442,110,146,2596,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
687,112,153,2920,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
467,179,231,3265,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
399,48,65,3353,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
486,86,93,2006,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
313,32,150,1766,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
405,233,559,3457,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
499,21,13,2973,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
500,274,475,3060,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
334,39,38,2329,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
365,58,78,2485,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
369,93,115,1740,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
338,89,167,2397,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
353,64,62,1693,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
396,97,77,2477,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
349,231,441,3870,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
271,68,140,1708,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
281,46,54,1923,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
361,28,39,2389,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
393,63,71,2755,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
435,91,74,2357,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
484,58,36,1982,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
343,36,39,3622,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
302,53,28,2047,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
578,13,9,2080,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
59,89,97,2143,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
365,36,27,2666,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
376,24,19,2221,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
691,146,168,3379,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
295,49,47,2850,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
681,20,0,5205,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
339,68,35,3180,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
541,84,104,3759,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
695,93,34,4281,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
273,45,48,1281,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
699,14,0,2572,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
