B03002_012E,B03002_001M,B03002_001E,B03002_012M,NAME,state,county,tract
46,373,1580,57,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
538,480,2751,370,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
441,692,2974,449,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
504,442,3381,386,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
401,401,3367,234,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
135,497,2064,81,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
261,313,1766,98,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
887,409,3703,318,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
197,499,2973,111,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
632,502,3114,290,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
373,338,2547,182,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
230,366,2503,141,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
388,378,1759,202,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
104,424,2487,83,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
173,353,1693,113,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
302,397,2508,283,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
615,411,4034,234,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
148,274,1780,60,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
374,285,1936,189,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
223,366,2403,164,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
51,561,2978,47,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
307,451,2549,303,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
113,514,2150,85,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
196,375,3930,119,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
192,383,2271,176,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
107,597,2264,89,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
124,59,2143,84,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
119,386,2913,74,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
197,448,2462,102,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
322,684,3485,187,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
198,295,2850,113,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
297,689,5262,169,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
173,400,3305,118,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
1008,602,4592,460,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
34,711,4383,38,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
18,302,1458,24,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
113,728,2779,179,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
424,648,4304,376,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
0,610,2803,14,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
93,627,3407,117,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
52,1379,4124,62,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
0,722,3387,14,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
0,922,4999,14,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
123,655,2440,120,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
70,592,2815,74,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
130,901,4949,132,Census Tract 76.01; District of Columbia; District of Columbia,11,001,007601
173,866,4281,246,Census Tract 76.03; District of Columbia; District of Columbia,11,001,007603
177,729,3738,113,Census Tract 76.04; District of Columbia; District of Columbia,11,001,007604
15,548,3793,25,Census Tract 76.05; District of Columbia; District of Columbia,11,001,007605
2051,1051,7140,1095,Census Tract 77.03; District of Columbia; District of Columbia,11,001,007703
178,869,4345,150,Census Tract 77.07; District of Columbia; District of Columbia,11,001,007707
34,535,2444,55,Census Tract 77.08; District of Columbia; District of Columbia,11,001,007708
128,589,2512,159,Census Tract 77.09; District of Columbia; District of Columbia,11,001,007709
67,857,4968,75,Census Tract 78.03; District of Columbia; District of Columbia,11,001,007803
33,887,4078,41,Census Tract 78.04; District of Columbia; District of Columbia,11,001,007804
17,446,2361,34,Census Tract 78.06; District of Columbia; District of Columbia,11,001,007806
156,604,2477,159,Census Tract 78.07; District of Columbia; District of Columbia,11,001,007807
263,1040,4105,224,Census Tract 78.08; District of Columbia; District of Columbia,11,001,007808
302,737,3134,374,Census Tract 78.09; District of Columbia; District of Columbia,11,001,007809
578,889,4397,324,Census Tract 79.01; District of Columbia; District of Columbia,11,001,007901
131,348,1859,74,Census Tract 79.03; District of Columbia; District of Columbia,11,001,007903
259,415,3058,122,Census Tract 80.01; District of Columbia; District of Columbia,11,001,008001
223,398,3286,124,Census Tract 80.02; District of Columbia; District of Columbia,11,001,008002
287,448,3183,167,Census Tract 81; District of Columbia; District of Columbia,11,001,008100
212,388,2805,82,Census Tract 82; District of Columbia; District of Columbia,11,001,008200
391,309,3077,237,Census Tract 83.01; District of Columbia; District of Columbia,11,001,008301
380,489,2871,260,Census Tract 83.02; District of Columbia; District of Columbia,11,001,008302
284,325,2557,174,Census Tract 84.02; District of Columbia; District of Columbia,11,001,008402
352,429,2138,283,Census Tract 84.10; District of Columbia; District of Columbia,11,001,008410
47,464,2618,38,Census Tract 87.01; District of Columbia; District of Columbia,11,001,008701
396,577,3521,308,Census Tract 87.02; District of Columbia; District of Columbia,11,001,008702
383,575,4605,301,Census Tract 88.02; District of Columbia; District of Columbia,11,001,008802
434,568,4473,159,Census Tract 88.03; District of Columbia; District of Columbia,11,001,008803
325,610,2338,166,Census Tract 88.04; District of Columbia; District of Columbia,11,001,008804
83,1086,3668,84,Census Tract 89.03; District of Columbia; District of Columbia,11,001,008903
284,917,3826,209,Census Tract 89.04; District of Columbia; District of Columbia,11,001,008904
44,603,3679,60,Census Tract 90; District of Columbia; District of Columbia,11,001,009000
444,677,4352,386,Census Tract 91.02; District of Columbia; District of Columbia,11,001,009102
332,411,3058,153,Census Tract 92.01; District of Columbia; District of Columbia,11,001,009201
263,728,3320,192,Census Tract 92.03; District of Columbia; District of Columbia,11,001,009203
579,554,3388,301,Census Tract 92.04; District of Columbia; District of Columbia,11,001,009204
114,516,3388,105,Census Tract 93.01; District of Columbia; District of Columbia,11,001,009301
298,306,1821,231,Census Tract 93.02; District of Columbia; District of Columbia,11,001,009302
263,730,4966,169,Census Tract 94; District of Columbia; District of Columbia,11,001,009400
258,697,3438,174,Census Tract 95.03; District of Columbia; District of Columbia,11,001,009503
183,365,3037,142,Census Tract 95.04; District of Columbia; District of Columbia,11,001,009504
157,548,4407,106,Census Tract 95.05; District of Columbia; District of Columbia,11,001,009505
288,316,1636,93,Census Tract 95.07; District of Columbia; District of Columbia,11,001,009507
334,975,3910,121,Census Tract 95.08; District of Columbia; District of Columbia,11,001,009508
399,529,3274,200,Census Tract 95.09; District of Columbia; District of Columbia,11,001,009509
1706,827,4788,574,Census Tract 95.10; District of Columbia; District of Columbia,11,001,009510
203,58,1426,92,Census Tract 95.11; District of Columbia; District of Columbia,11,001,009511
73,464,2218,79,Census Tract 96.01; District of Columbia; District of Columbia,11,001,009601
290,590,5527,260,Census Tract 96.02; District of Columbia; District of Columbia,11,001,009602
124,720,4219,116,Census Tract 96.03; District of Columbia; District of Columbia,11,001,009603
101,584,1912,68,Census Tract 96.04; District of Columbia; District of Columbia,11,001,009604
0,747,3232,14,Census Tract 97; District of Columbia; District of Columbia,11,001,009700
42,435,2075,42,Census Tract 98.01; District of Columbia; District of Columbia,11,001,009801
0,531,2113,14,Census Tract 98.02; District of Columbia; District of Columbia,11,001,009802
221,610,2892,296,Census Tract 98.03; District of Columbia; District of Columbia,11,001,009803
345,629,2643,235,Census Tract 98.04; District of Columbia; District of Columbia,11,001,009804
156,750,3322,208,Census Tract 98.07; District of Columbia; District of Columbia,11,001,009807
42,406,1918,61,Census Tract 98.10; District of Columbia; District of Columbia,11,001,009810
34,1030,4225,86,Census Tract 98.11; District of Columbia; District of Columbia,11,001,009811
15,331,2107,18,Census Tract 99.01; District of Columbia; District of Columbia,11,001,009901
156,844,2742,174,Census Tract 99.02; District of Columbia; District of Columbia,11,001,009902
73,489,2156,97,Census Tract 99.03; District of Columbia; District of Columbia,11,001,009903
494,792,3632,450,Census Tract 99.04; District of Columbia; District of Columbia,11,001,009904
0,675,3182,14,Census Tract 99.05; District of Columbia; District of Columbia,11,001,009905
17,318,1615,27,Census Tract 99.06; District of Columbia; District of Columbia,11,001,009906
195,646,2099,252,Census Tract 99.07; District of Columbia; District of Columbia,11,001,009907
341,414,2659,158,Census Tract 101; District of Columbia; District of Columbia,11,001,010100
170,440,2946,105,Census Tract 102.01; District of Columbia; District of Columbia,11,001,010201
218,454,2542,140,Census Tract 102.02; District of Columbia; District of Columbia,11,001,010202
877,539,4344,356,Census Tract 103; District of Columbia; District of Columbia,11,001,010300
92,919,4389,83,Census Tract 104; District of Columbia; District of Columbia,11,001,010400
374,583,3844,184,Census Tract 105; District of Columbia; District of Columbia,11,001,010500
158,357,1928,100,Census Tract 106.01; District of Columbia; District of Columbia,11,001,010601
447,709,7269,271,Census Tract 106.02; District of Columbia; District of Columbia,11,001,010602
248,591,2562,129,Census Tract 106.03; District of Columbia; District of Columbia,11,001,010603
229,330,1648,121,Census Tract 107; District of Columbia; District of Columbia,11,001,010700
634,272,4731,133,Census Tract 108; District of Columbia; District of Columbia,11,001,010800
7,781,3355,15,Census Tract 109; District of Columbia; District of Columbia,11,001,010900
654,554,2763,523,Census Tract 110.01; District of Columbia; District of Columbia,11,001,011001
17,192,1512,17,Census Tract 110.02; District of Columbia; District of Columbia,11,001,011002
724,754,4985,420,Census Tract 111; District of Columbia; District of Columbia,11,001,011100
0,25,17,14,Census Tract 9800; District of Columbia; District of Columbia,11,001,980000
