B05012_003M,B05012_001E,B05012_001M,B05012_003E,NAME,state,county,tract
50,1580,373,28,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
149,2751,480,346,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
131,2974,692,384,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
299,3381,442,548,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
172,3367,401,593,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
249,2064,497,415,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
148,1766,313,416,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
283,3703,409,958,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
159,2973,499,317,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
330,3114,502,821,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
132,2547,338,420,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
162,2503,366,478,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
225,1759,378,492,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
154,2487,424,377,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
132,1693,353,360,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
342,2508,397,705,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
412,4034,411,1489,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
96,1780,274,288,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
215,1936,285,431,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
130,2403,366,334,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
73,2978,561,94,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
136,2549,451,337,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
77,2150,514,182,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
80,3930,375,162,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
119,2271,383,241,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
44,2264,597,76,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
102,2143,59,110,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
128,2913,386,243,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
123,2462,448,250,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
151,3485,684,287,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
98,2850,295,196,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
105,5262,689,215,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
144,3305,400,246,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
144,4592,602,259,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
93,4383,711,34,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
56,1458,302,59,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
138,2779,728,114,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
52,4304,648,40,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
14,2803,610,0,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
119,3407,627,197,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
48,4124,1379,33,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
64,3387,722,60,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
94,4999,922,115,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
55,2440,655,68,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
62,2815,592,55,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
249,4949,901,413,Census Tract 76.01; District of Columbia; District of Columbia,11,001,007601
69,4281,866,59,Census Tract 76.03; District of Columbia; District of Columbia,11,001,007603
134,3738,729,266,Census Tract 76.04; District of Columbia; District of Columbia,11,001,007604
58,3793,548,79,Census Tract 76.05; District of Columbia; District of Columbia,11,001,007605
587,7140,1051,983,Census Tract 77.03; District of Columbia; District of Columbia,11,001,007703
168,4345,869,163,Census Tract 77.07; District of Columbia; District of Columbia,11,001,007707
57,2444,535,60,Census Tract 77.08; District of Columbia; District of Columbia,11,001,007708
34,2512,589,24,Census Tract 77.09; District of Columbia; District of Columbia,11,001,007709
110,4968,857,151,Census Tract 78.03; District of Columbia; District of Columbia,11,001,007803
294,4078,887,226,Census Tract 78.04; District of Columbia; District of Columbia,11,001,007804
94,2361,446,132,Census Tract 78.06; District of Columbia; District of Columbia,11,001,007806
96,2477,604,110,Census Tract 78.07; District of Columbia; District of Columbia,11,001,007807
122,4105,1040,148,Census Tract 78.08; District of Columbia; District of Columbia,11,001,007808
145,3134,737,175,Census Tract 78.09; District of Columbia; District of Columbia,11,001,007809
196,4397,889,471,Census Tract 79.01; District of Columbia; District of Columbia,11,001,007901
71,1859,348,132,Census Tract 79.03; District of Columbia; District of Columbia,11,001,007903
177,3058,415,322,Census Tract 80.01; District of Columbia; District of Columbia,11,001,008001
158,3286,398,264,Census Tract 80.02; District of Columbia; District of Columbia,11,001,008002
94,3183,448,220,Census Tract 81; District of Columbia; District of Columbia,11,001,008100
101,2805,388,232,Census Tract 82; District of Columbia; District of Columbia,11,001,008200
158,3077,309,406,Census Tract 83.01; District of Columbia; District of Columbia,11,001,008301
116,2871,489,224,Census Tract 83.02; District of Columbia; District of Columbia,11,001,008302
76,2557,325,134,Census Tract 84.02; District of Columbia; District of Columbia,11,001,008402
65,2138,429,114,Census Tract 84.10; District of Columbia; District of Columbia,11,001,008410
127,2618,464,247,Census Tract 87.01; District of Columbia; District of Columbia,11,001,008701
113,3521,577,217,Census Tract 87.02; District of Columbia; District of Columbia,11,001,008702
243,4605,575,580,Census Tract 88.02; District of Columbia; District of Columbia,11,001,008802
168,4473,568,406,Census Tract 88.03; District of Columbia; District of Columbia,11,001,008803
145,2338,610,233,Census Tract 88.04; District of Columbia; District of Columbia,11,001,008804
117,3668,1086,103,Census Tract 89.03; District of Columbia; District of Columbia,11,001,008903
263,3826,917,420,Census Tract 89.04; District of Columbia; District of Columbia,11,001,008904
79,3679,603,66,Census Tract 90; District of Columbia; District of Columbia,11,001,009000
312,4352,677,596,Census Tract 91.02; District of Columbia; District of Columbia,11,001,009102
127,3058,411,336,Census Tract 92.01; District of Columbia; District of Columbia,11,001,009201
261,3320,728,441,Census Tract 92.03; District of Columbia; District of Columbia,11,001,009203
346,3388,554,911,Census Tract 92.04; District of Columbia; District of Columbia,11,001,009204
191,3388,516,306,Census Tract 93.01; District of Columbia; District of Columbia,11,001,009301
152,1821,306,256,Census Tract 93.02; District of Columbia; District of Columbia,11,001,009302
111,4966,730,232,Census Tract 94; District of Columbia; District of Columbia,11,001,009400
216,3438,697,313,Census Tract 95.03; District of Columbia; District of Columbia,11,001,009503
316,3037,365,615,Census Tract 95.04; District of Columbia; District of Columbia,11,001,009504
204,4407,548,366,Census Tract 95.05; District of Columbia; District of Columbia,11,001,009505
221,1636,316,329,Census Tract 95.07; District of Columbia; District of Columbia,11,001,009507
163,3910,975,345,Census Tract 95.08; District of Columbia; District of Columbia,11,001,009508
180,3274,529,253,Census Tract 95.09; District of Columbia; District of Columbia,11,001,009509
315,4788,827,1464,Census Tract 95.10; District of Columbia; District of Columbia,11,001,009510
106,1426,58,155,Census Tract 95.11; District of Columbia; District of Columbia,11,001,009511
80,2218,464,102,Census Tract 96.01; District of Columbia; District of Columbia,11,001,009601
314,5527,590,437,Census Tract 96.02; District of Columbia; District of Columbia,11,001,009602
209,4219,720,375,Census Tract 96.03; District of Columbia; District of Columbia,11,001,009603
84,1912,584,166,Census Tract 96.04; District of Columbia; District of Columbia,11,001,009604
328,3232,747,288,Census Tract 97; District of Columbia; District of Columbia,11,001,009700
14,2075,435,11,Census Tract 98.01; District of Columbia; District of Columbia,11,001,009801
40,2113,531,38,Census Tract 98.02; District of Columbia; District of Columbia,11,001,009802
238,2892,610,266,Census Tract 98.03; District of Columbia; District of Columbia,11,001,009803
147,2643,629,195,Census Tract 98.04; District of Columbia; District of Columbia,11,001,009804
152,3322,750,161,Census Tract 98.07; District of Columbia; District of Columbia,11,001,009807
126,1918,406,107,Census Tract 98.10; District of Columbia; District of Columbia,11,001,009810
92,4225,1030,67,Census Tract 98.11; District of Columbia; District of Columbia,11,001,009811
36,2107,331,35,Census Tract 99.01; District of Columbia; District of Columbia,11,001,009901
43,2742,844,24,Census Tract 99.02; District of Columbia; District of Columbia,11,001,009902
118,2156,489,106,Census Tract 99.03; District of Columbia; District of Columbia,11,001,009903
205,3632,792,243,Census Tract 99.04; District of Columbia; District of Columbia,11,001,009904
60,3182,675,60,Census Tract 99.05; District of Columbia; District of Columbia,11,001,009905
30,1615,318,34,Census Tract 99.06; District of Columbia; District of Columbia,11,001,009906
10,2099,646,5,Census Tract 99.07; District of Columbia; District of Columbia,11,001,009907
201,2659,414,611,Census Tract 101; District of Columbia; District of Columbia,11,001,010100
132,2946,440,269,Census Tract 102.01; District of Columbia; District of Columbia,11,001,010201
166,2542,454,444,Census Tract 102.02; District of Columbia; District of Columbia,11,001,010202
242,4344,539,892,Census Tract 103; District of Columbia; District of Columbia,11,001,010300
58,4389,919,49,Census Tract 104; District of Columbia; District of Columbia,11,001,010400
200,3844,583,459,Census Tract 105; District of Columbia; District of Columbia,11,001,010500
116,1928,357,189,Census Tract 106.01; District of Columbia; District of Columbia,11,001,010601
208,7269,709,597,Census Tract 106.02; District of Columbia; District of Columbia,11,001,010602
120,2562,591,226,Census Tract 106.03; District of Columbia; District of Columbia,11,001,010603
108,1648,330,254,Census Tract 107; District of Columbia; District of Columbia,11,001,010700
270,4731,272,974,Census Tract 108; District of Columbia; District of Columbia,11,001,010800
111,3355,781,175,Census Tract 109; District of Columbia; District of Columbia,11,001,010900
61,2763,554,60,Census Tract 110.01; District of Columbia; District of Columbia,11,001,011001
82,1512,192,250,Census Tract 110.02; District of Columbia; District of Columbia,11,001,011002
193,4985,754,520,Census Tract 111; District of Columbia; District of Columbia,11,001,011100
14,17,25,0,Census Tract 9800; District of Columbia; District of Columbia,11,001,980000
