S1701_C01_042M,S1701_C01_042E,S1701_C01_001M,S1701_C01_001E,NAME,state,county,tract
332,1404,373,1580,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704
232,523,480,2745,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801
182,377,692,2974,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802
455,1064,442,3381,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901
119,595,401,3367,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902
63,101,497,2064,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001
77,327,313,1766,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003
449,1545,409,3703,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004
171,291,495,2960,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202
251,403,502,3114,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203
125,193,338,2547,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302
155,345,366,2490,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303
109,228,378,1757,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501
158,414,423,2301,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502
240,565,353,1693,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503
166,738,397,2499,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601
191,545,414,3018,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602
97,408,274,1767,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801
162,370,285,1936,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802
135,426,367,2246,Census Tract 59; District of Columbia; District of Columbia,11,001,005900
450,1436,481,2904,Census Tract 64; District of Columbia; District of Columbia,11,001,006400
290,500,452,2512,Census Tract 65; District of Columbia; District of Columbia,11,001,006500
280,370,515,2138,Census Tract 66; District of Columbia; District of Columbia,11,001,006600
59,97,375,3921,Census Tract 67; District of Columbia; District of Columbia,11,001,006700
177,422,383,2271,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801
234,259,597,2257,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802
27,239,51,293,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804
108,188,386,2913,Census Tract 69; District of Columbia; District of Columbia,11,001,006900
142,187,448,2155,Census Tract 70; District of Columbia; District of Columbia,11,001,007000
584,1322,684,3485,Census Tract 71; District of Columbia; District of Columbia,11,001,007100
89,162,295,2850,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201
204,311,689,5262,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202
205,549,400,3237,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203
477,978,600,4260,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301
632,1747,711,4195,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304
247,853,315,1398,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401
752,2475,728,2779,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403
580,1284,648,4304,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404
620,1374,610,2803,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406
672,1645,627,3407,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407
1367,3120,1379,3940,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408
807,2062,722,3387,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409
833,2211,917,4568,Census Tract 75.02; District of Columbia; District of Columbia,11,001,007502
266,850,655,2440,Census Tract 75.03; District of Columbia; District of Columbia,11,001,007503
557,1398,592,2815,Census Tract 75.04; District of Columbia; District of Columbia,11,001,007504
834,1971,896,4913,Census Tract 76.01; District of Columbia; District of Columbia,11,001,007601
304,557,866,4281,Census Tract 76.03; District of Columbia; District of Columbia,11,001,007603
552,1124,729,3738,Census Tract 76.04; District of Columbia; District of Columbia,11,001,007604
481,1253,548,3779,Census Tract 76.05; District of Columbia; District of Columbia,11,001,007605
1016,2499,1056,7109,Census Tract 77.03; District of Columbia; District of Columbia,11,001,007703
865,2020,869,4345,Census Tract 77.07; District of Columbia; District of Columbia,11,001,007707
360,827,535,2444,Census Tract 77.08; District of Columbia; District of Columbia,11,001,007708
640,1584,588,2500,Census Tract 77.09; District of Columbia; District of Columbia,11,001,007709
937,2213,854,4922,Census Tract 78.03; District of Columbia; District of Columbia,11,001,007803
776,2080,886,3779,Census Tract 78.04; District of Columbia; District of Columbia,11,001,007804
353,759,446,2358,Census Tract 78.06; District of Columbia; District of Columbia,11,001,007806
363,1145,604,2473,Census Tract 78.07; District of Columbia; District of Columbia,11,001,007807
995,1715,1041,4093,Census Tract 78.08; District of Columbia; District of Columbia,11,001,007808
429,915,737,3132,Census Tract 78.09; District of Columbia; District of Columbia,11,001,007809
550,1778,889,4397,Census Tract 79.01; District of Columbia; District of Columbia,11,001,007901
152,430,348,1859,Census Tract 79.03; District of Columbia; District of Columbia,11,001,007903
91,149,415,3048,Census Tract 80.01; District of Columbia; District of Columbia,11,001,008001
175,383,398,3266,Census Tract 80.02; District of Columbia; District of Columbia,11,001,008002
58,97,448,3177,Census Tract 81; District of Columbia; District of Columbia,11,001,008100
117,201,386,2702,Census Tract 82; District of Columbia; District of Columbia,11,001,008200
110,233,309,2978,Census Tract 83.01; District of Columbia; District of Columbia,11,001,008301
83,122,489,2735,Census Tract 83.02; District of Columbia; District of Columbia,11,001,008302
125,259,325,2552,Census Tract 84.02; District of Columbia; District of Columbia,11,001,008402
140,191,429,2130,Census Tract 84.10; District of Columbia; District of Columbia,11,001,008410
236,464,465,2596,Census Tract 87.01; District of Columbia; District of Columbia,11,001,008701
202,557,577,3521,Census Tract 87.02; District of Columbia; District of Columbia,11,001,008702
382,1418,567,4546,Census Tract 88.02; District of Columbia; District of Columbia,11,001,008802
323,1335,564,3910,Census Tract 88.03; District of Columbia; District of Columbia,11,001,008803
401,766,610,2332,Census Tract 88.04; District of Columbia; District of Columbia,11,001,008804
826,1847,1041,3485,Census Tract 89.03; District of Columbia; District of Columbia,11,001,008903
655,1813,917,3826,Census Tract 89.04; District of Columbia; District of Columbia,11,001,008904
282,813,603,3679,Census Tract 90; District of Columbia; District of Columbia,11,001,009000
506,1384,676,4341,Census Tract 91.02; District of Columbia; District of Columbia,11,001,009102
236,685,409,2876,Census Tract 92.01; District of Columbia; District of Columbia,11,001,009201
204,451,728,3320,Census Tract 92.03; District of Columbia; District of Columbia,11,001,009203
533,1641,554,3388,Census Tract 92.04; District of Columbia; District of Columbia,11,001,009204
158,408,516,3388,Census Tract 93.01; District of Columbia; District of Columbia,11,001,009301
189,389,306,1821,Census Tract 93.02; District of Columbia; District of Columbia,11,001,009302
372,652,728,4946,Census Tract 94; District of Columbia; District of Columbia,11,001,009400
588,935,697,3409,Census Tract 95.03; District of Columbia; District of Columbia,11,001,009503
299,665,365,2810,Census Tract 95.04; District of Columbia; District of Columbia,11,001,009504
201,428,549,4392,Census Tract 95.05; District of Columbia; District of Columbia,11,001,009505
287,626,316,1636,Census Tract 95.07; District of Columbia; District of Columbia,11,001,009507
274,948,974,3897,Census Tract 95.08; District of Columbia; District of Columbia,11,001,009508
89,134,529,3274,Census Tract 95.09; District of Columbia; District of Columbia,11,001,009509
562,2618,827,4788,Census Tract 95.10; District of Columbia; District of Columbia,11,001,009510
7,122,7,122,Census Tract 95.11; District of Columbia; District of Columbia,11,001,009511
397,851,464,2212,Census Tract 96.01; District of Columbia; District of Columbia,11,001,009601
662,3659,578,5496,Census Tract 96.02; District of Columbia; District of Columbia,11,001,009602
567,1849,720,4219,Census Tract 96.03; District of Columbia; District of Columbia,11,001,009603
216,468,584,1912,Census Tract 96.04; District of Columbia; District of Columbia,11,001,009604
478,1225,747,3232,Census Tract 97; District of Columbia; District of Columbia,11,001,009700
397,1109,435,2075,Census Tract 98.01; District of Columbia; District of Columbia,11,001,009801
377,1136,531,2113,Census Tract 98.02; District of Columbia; District of Columbia,11,001,009802
391,1134,548,2696,Census Tract 98.03; District of Columbia; District of Columbia,11,001,009803
515,1205,629,2643,Census Tract 98.04; District of Columbia; District of Columbia,11,001,009804
306,958,750,3250,Census Tract 98.07; District of Columbia; District of Columbia,11,001,009807
462,1038,406,1918,Census Tract 98.10; District of Columbia; District of Columbia,11,001,009810
1075,2302,1030,4225,Census Tract 98.11; District of Columbia; District of Columbia,11,001,009811
164,285,331,2107,Census Tract 99.01; District of Columbia; District of Columbia,11,001,009901
257,449,844,2736,Census Tract 99.02; District of Columbia; District of Columbia,11,001,009902
407,531,493,2142,Census Tract 99.03; District of Columbia; District of Columbia,11,001,009903
618,1561,793,3623,Census Tract 99.04; District of Columbia; District of Columbia,11,001,009904
477,1083,675,3166,Census Tract 99.05; District of Columbia; District of Columbia,11,001,009905
176,385,318,1615,Census Tract 99.06; District of Columbia; District of Columbia,11,001,009906
535,985,646,2086,Census Tract 99.07; District of Columbia; District of Columbia,11,001,009907
137,328,414,2598,Census Tract 101; District of Columbia; District of Columbia,11,001,010100
130,325,440,2946,Census Tract 102.01; District of Columbia; District of Columbia,11,001,010201
412,641,452,2528,Census Tract 102.02; District of Columbia; District of Columbia,11,001,010202
336,748,539,4323,Census Tract 103; District of Columbia; District of Columbia,11,001,010300
438,1540,913,4195,Census Tract 104; District of Columbia; District of Columbia,11,001,010400
376,1115,583,3844,Census Tract 105; District of Columbia; District of Columbia,11,001,010500
142,356,357,1928,Census Tract 106.01; District of Columbia; District of Columbia,11,001,010601
467,1059,709,7218,Census Tract 106.02; District of Columbia; District of Columbia,11,001,010602
85,188,591,2562,Census Tract 106.03; District of Columbia; District of Columbia,11,001,010603
120,331,330,1554,Census Tract 107; District of Columbia; District of Columbia,11,001,010700
181,615,269,1206,Census Tract 108; District of Columbia; District of Columbia,11,001,010800
740,2220,781,3355,Census Tract 109; District of Columbia; District of Columbia,11,001,010900
261,578,554,2763,Census Tract 110.01; District of Columbia; District of Columbia,11,001,011001
98,161,193,1479,Census Tract 110.02; District of Columbia; District of Columbia,11,001,011002
592,1463,754,4765,Census Tract 111; District of Columbia; District of Columbia,11,001,011100
14,0,25,17,Census Tract 9800; District of Columbia; District of Columbia,11,001,980000
